Date,house_price_index,population,house_supply,gdp,mortgage_rate,employment_rate,permit_new,ppi_res,m3,cci,delinquency_rate,hcai
01-01-87,63.965,241857,6,99.90281335,9.204,70.16308505,1690,100,2.7439,100.4624,,
01-02-87,64.424,242005,6.2,99.87586442,9.0825,70.28920495,1689,100.4,2.7475,100.4945,,
01-03-87,64.735,242166,6,99.8697339,9.035,70.32167787,1704,100.7,2.7537,100.572,,
01-04-87,65.132,242338,6,99.8820871,9.8325,70.49906164,1601,101.1,2.7677,100.6568,,
01-05-87,65.565,242516,6.7,99.91037065,10.596,70.80830806,1500,101.3,2.7729,100.6919,,
01-06-87,66.073,242706,6.9,99.95409087,10.5375,70.5857077,1522,101.5,2.7746,100.7686,,
01-07-87,66.508,242908,6.7,100.016021,10.278,70.79351785,1516,102,2.779,100.8778,,
01-08-87,66.939,243118,6.8,100.0984042,10.33,70.99908919,1511,102.3,2.7882,100.8828,,
01-09-87,67.331,243335,6.8,100.1979314,10.8875,70.91544754,1514,102.9,2.7995,100.6881,,
01-10-87,67.738,243543,6.8,100.299312,11.26,71.10611082,1447,103,2.8148,100.3227,,
01-11-87,68.107,243724,7,100.3847761,10.65,71.16438776,1457,103.3,2.8189,100.0337,,
01-12-87,68.506,243895,7.6,100.4435091,10.64,71.29550445,1345,103.4,2.8264,100.1095,,
01-01-88,68.859,244056,7.5,100.482274,10.3825,71.32077175,1244,103.9,2.8474,100.3865,,
01-02-88,69.263,244205,6.6,100.5145096,9.8925,71.379813,1438,104.1,2.8704,100.6399,,
01-03-88,69.639,244362,6.6,100.5509712,9.93,71.27074357,1525,104.5,2.8907,100.8116,,
01-04-88,69.977,244528,6.4,100.5909909,10.202,71.52921613,1429,105,2.9107,100.8577,,
01-05-88,70.426,244708,6.6,100.6296123,10.455,71.33103539,1444,105.2,2.926,100.9552,,
01-06-88,70.888,244914,6.2,100.6645604,10.46,71.58933195,1485,105.6,2.9384,101.0271,,
01-07-88,71.354,245131,6.6,100.7034102,10.432,71.68153101,1439,106.1,2.9472,101.0987,,
01-08-88,71.799,245352,6.6,100.7568569,10.5975,71.80118925,1460,106,2.952,101.2135,,
01-09-88,72.24,245579,6.5,100.8318697,10.48,71.81210948,1436,106.3,2.9569,101.1973,,
01-10-88,72.636,245789,6,100.9239446,10.3025,71.93679438,1516,106.4,2.9653,101.0484,,
01-11-88,73.072,245970,7.2,101.0230147,10.265,72.03517113,1508,106.8,2.9802,100.9406,,
01-12-88,73.465,246140,6.8,101.1182431,10.612,72.10745366,1501,107,2.9882,100.9688,,
01-01-89,73.947,246301,6.2,101.2024469,10.73,72.27703066,1466,107.6,2.9917,101.1181,,
01-02-89,74.383,246454,7.5,101.2709068,10.645,72.30408515,1383,108.5,2.9922,101.0967,,
01-03-89,74.778,246626,8.2,101.3211054,11.032,72.41098297,1214,109.2,2.9997,100.9433,,
01-04-89,75.085,246814,7.4,101.3537307,11.05,72.35926187,1376,110.1,3.006,100.7336,,
01-05-89,75.306,247010,7.1,101.3702091,10.7725,72.3898812,1381,110.6,3.0116,100.5943,,
01-06-89,75.48,247228,7.2,101.3716537,10.196,72.58345983,1322,110.7,3.0279,100.5602,,
01-07-89,75.658,247458,6.1,101.3591294,9.8825,72.59715167,1283,111.1,3.0524,100.6122,,
01-08-89,75.836,247695,6.4,101.3348182,9.985,72.70362822,1334,110.8,3.0744,100.6989,,
01-09-89,76.057,247942,7.1,101.3043357,10.126,72.47735655,1314,111,3.0925,100.8612,,
01-10-89,76.283,248174,6.9,101.2800355,9.9475,72.56904016,1365,111.5,3.1141,100.8429,,
01-11-89,76.521,248380,6.6,101.2740146,9.7675,72.72474713,1344,111.3,3.1333,100.7103,,
01-12-89,76.705,248569,7,101.2908683,9.744,72.57324251,1422,110.8,3.1525,100.6311,,
01-01-90,76.897,248743,7,101.3192884,9.895,72.48943709,1748,111.2,3.1668,100.6283,,
01-02-90,77.053,248920,7.6,101.3402573,10.1975,72.46759526,1329,111.4,3.1792,100.6091,,
01-03-90,77.201,249146,7.8,101.3345009,10.268,72.51231695,1246,111.9,3.1901,100.6827,,
01-04-90,77.278,249436,8.3,101.2905828,10.37,72.32320388,1136,112.6,3.2016,100.7387,,
01-05-90,77.298,249707,8.2,101.2004578,10.4775,72.50139138,1067,112.6,3.2006,100.6001,,
01-06-90,77.258,249990,7.9,101.0578732,10.164,72.42706971,1108,112,3.2137,100.2951,,
01-07-90,77.138,250285,7.8,100.8601753,10.035,72.28284034,1078,112.2,3.2245,99.77992,,
01-08-90,77.009,250595,8.2,100.6079884,10.1,72.11976339,1069,112.3,3.242,98.95334,,
01-09-90,76.85,250904,8.4,100.3088984,10.175,71.94829096,976,112.7,3.2546,98.15925,,
01-10-90,76.7,251201,8.7,99.98500435,10.1775,71.9459666,925,112.8,3.2593,97.52459,,
01-11-90,76.37,251486,8.2,99.66426538,10.014,71.60458315,941,112.8,3.2626,97.29921,,
01-12-90,76.185,251758,8.5,99.3738997,9.6725,71.56983031,861,112.7,3.2718,97.36773,,
01-01-91,75.916,252012,9.4,99.13384981,9.6375,71.35898928,786,112.9,3.2877,97.73981,3.18,
01-02-91,75.735,252253,7.9,98.95719661,9.365,71.18393356,853,112.7,3.3045,98.41863,3.18,
01-03-91,75.57,252507,7.3,98.84700762,9.5,71.03766085,911,112.9,3.3219,99.19271,3.18,
01-04-91,75.567,252778,7.3,98.78861783,9.4925,71.22498,916,113.3,3.3324,99.41135,3.07,
01-05-91,75.765,253060,7,98.76158532,9.472,70.85507979,991,114.2,3.343,99.39314,3.07,
01-06-91,75.993,253350,7,98.74775956,9.615,71.03257857,964,115.6,3.3519,99.46294,3.07,
01-07-91,76.083,253650,7.1,98.73703743,9.575,70.98545289,973,115.8,3.3561,99.52857,3.17,
01-08-91,76.11,253966,6.8,98.72685139,9.244,70.76418213,944,114.5,3.355,99.49039,3.17,
01-09-91,76.194,254280,7.4,98.72137015,9.0075,70.97117902,974,114.7,3.3549,99.27659,3.17,
01-10-91,76.075,254576,6.7,98.73057725,8.855,70.84383453,991,114.5,3.3601,98.76786,3.3,
01-11-91,76.014,254841,6.2,98.76590132,8.712,70.71360658,984,114.6,3.3655,98.13734,3.3,
01-12-91,76.056,255089,6.2,98.83470677,8.4975,70.558959,1061,115,3.3722,97.76636,3.3,
01-01-92,76.086,255331,5.2,98.93278058,8.432,70.82478958,1077,115.6,3.3812,97.71429,3.23,
01-02-92,76.155,255576,4.9,99.05092815,8.7625,70.64509162,1146,117.3,3.4,97.97602,3.23,
01-03-92,76.276,255848,6.1,99.17928139,8.935,70.69513053,1082,118.1,3.4039,98.4456,3.23,
01-04-92,76.346,256139,6.1,99.31000242,8.8525,70.85896505,1054,118.5,3.3997,98.81865,2.96,
01-05-92,76.399,256437,6,99.43714226,8.672,70.81219628,1056,118.7,3.3986,99.03103,2.96,
01-06-92,76.332,256742,5.6,99.55615035,8.51,70.95710427,1057,118.4,3.3934,99.03729,2.96,
01-07-92,76.264,257063,5.3,99.66345297,8.128,71.12001116,1089,118.1,3.3939,98.85054,2.88,
01-08-92,76.23,257390,5.2,99.75474689,7.975,70.92608031,1075,118.2,3.3988,98.68761,2.88,
01-09-92,76.239,257704,5,99.82394196,7.9225,70.77135222,1114,119.2,3.4103,98.67641,2.88,
01-10-92,76.377,258004,5.1,99.86306881,8.088,70.62834819,1132,119,3.4238,98.95572,2.86,
01-11-92,76.559,258280,5.4,99.86487424,8.305,70.65851747,1118,119.3,3.4265,99.62333,2.86,
01-12-92,76.674,258546,5,99.8273805,8.206,70.77770065,1176,120.6,3.4247,100.1666,2.86,
01-01-93,76.784,258799,5.4,99.76088573,7.9925,70.84154358,1177,122.6,3.4191,100.3087,2.82,
01-02-93,76.838,259036,5.3,99.68033192,7.6825,70.94913906,1148,125.3,3.4145,100.1847,2.82,
01-03-93,76.868,259283,5.4,99.59962399,7.495,71.01298344,1056,127.8,3.4117,99.98457,2.82,
